CJIS_SPN,CJIS_CASE_NUMBER,CASE_DEFENDANT_ID,CHARGE_ID,OLD_STATUS,OLD_LOCATION,OLD_BOND_AMT
271983,2024CF3002A3,872349,1210550,,,
277235,2024CF2958C2,872659,1211100,,,
164699,2024CF3155A1,872888,1211447,,,
243798,2024CF3430A4,874016,1213488,,,
277589,2024CF3439A2,874038,1213535,,,
126088,2024CF3452A2,874109,1213627,,,
256697,2025MM52A1,875090,1215160,,,
226823,2025CF179A2,875455,1215679,,,
12002,2025CF542A2,876834,1217785,,,
278561,2025CF924A1,878328,1220349,,,
278561,2025CF924A2,878328,1220350,,,
237311,2025CF1053A1,878751,1221357,,,
180807,2025CF1058A1,878790,1221395,,,
278613,2025HH473A3,880133,1223522,,,
243067,2025CF1393A1,880144,1223544,,,
112900,2025CF764A5,877592,1225060,,,
277689,2025CF1698A5,881234,1225294,,,
277689,2025CF1698A6,881234,1225295,,,
277689,2025CF1698A33,881234,1225315,,,
277689,2025CF1698A45,881234,1225319,,,
277689,2025CF1698A41,881234,1225321,,,
182385,2025CF1734A1,881351,1225533,,,
279254,2025CF1829A1,881683,1226113,,,
220657,2025CF1896A1,881918,1226464,,,
277689,2025HH662A1,882191,1226932,,,
277689,2025HH662A2,882191,1226933,,,
271202,2025CF1964A1,882236,1226986,,,
279429,2025CF2070A1,882619,1227538,,,
257737,2025CF2241A1,883355,1228593,,,
168810,2025CF2292A2,883677,1229018,,,
279755,2025CF2445A3,885826,1229852,,,
238833,2025CF2481A6,886152,1230057,,,
238833,2025CF2481A12,886152,1230073,,,
266676,2025CF2563A1,886647,1230679,,,
208266,2025CF2629A2,886899,1231074,,,
252306,2025CF2805A26,887558,1232248,,,
241293,2025CF2845A1,887727,1232503,,,
223108,2025MM1928A2,887846,1232692,,,
270740,2025CF2895A1,887884,1232728,,,
242954,2025CF2934A10,887999,1232974,,,
242954,2025CF3072A3,888534,1233837,,,
279502,2025CF3157A1,888950,1234419,,,
256697,2025MM2161A1,889124,1234651,,,
273385,2025MM2187A1,889263,1234889,,,
273385,2025MM2201A1,889294,1234947,,,
280498,2025CF3332A2,889621,1235445,,,
252306,2025CF2805A36,887558,1235531,,,
278338,2025CF3364A1,889805,1235751,,,
144744,2025CF3394A1,889916,1235941,,,
259456,2026HH23A2,890653,1237029,,,
259456,2026HH23A4,890653,1237031,,,
259456,2026HH23A6,890653,1237033,,,
265804,2026HH31A1,890748,1237193,,,
271328,2026CF142A2,890847,1237364,,,
271328,2026CF142A3,890847,1237365,,,
242954,2026CF150A1,890867,1237452,,,
242954,2026CF150A13,890867,1237464,,,
242954,2026CF150A25,890867,1237476,,,
242954,2026CF150A31,890867,1237482,,,
242954,2026CF150A45,890867,1237496,,,
242954,2026CF150A47,890867,1237498,,,
242954,2026CF150A51,890867,1237502,,,
280748,2026CF150C6,890877,1237575,,,
186809,2026MM102A3,890945,1237875,,,
186809,2026CF167A5,890946,1237883,,,
256697,2026MM103A1,890949,1237887,,,
280761,2026CF172A4,890962,1237908,,,
278736,2026CF203A2,891080,1238119,,,
280871,2026CF291A2,891391,1238593,,,
277986,2026CF293A2,891393,1238596,,,
277986,2026CF293A5,891393,1238599,,,
273385,2026MM221A1,891409,1238618,,,
157487,2026CF309A1,891434,1238658,,,
157487,2026HH122A2,891649,1238968,,,
240980,2026HV8A1,891662,1238989,,,
273385,2026MM279A1,891768,1239155,,,
262983,2026CF404A4,891776,1239180,,,
280994,2026CF441A2,891904,1239387,,,
186809,2026CF447A3,891916,1239402,,,
256697,2026MM424A1,892388,1240213,,,
277973,2026CF612A1,892567,1240496,,,
222294,2026CF618A1,892592,1240531,,,
222294,2026CF618A2,892592,1240532,,,
280192,2025CF2974A9,888204,1240884,,,
280192,2025CF2974A16,888204,1240891,,,
280192,2025CF2974A27,888204,1240918,,,
279848,2026MM500A1,892861,1240964,,,
180807,2026CF704A1,892932,1241056,,,
228191,2026CF747A2,893103,1241347,,,
273385,2026MM583A1,893385,1241773,,,
168097,2026CF834A3,893413,1241819,,,
168097,2026CF834A2,893413,1241823,,,
148137,2026CF840A3,893454,1242125,,,
148137,2026CF840A4,893454,1242127,,,
273498,2026CF866A1,893525,1242615,,,
281361,2026CF886A2,893596,1242732,,,
265652,2026CF901A1,893636,1242798,,,
255598,2026CF948A1,893793,1243030,,,
280612,2026CF973A2,893918,1243203,,,
233866,2026CF976A1,893923,1243214,,,
233866,2026CF976A2,893923,1243216,,,
269574,2026CF978A3,893947,1243254,,,
176748,2026CF1001A1,894019,1243368,,,
281001,2026CF1007A2,894058,1243425,,,
277412,2026CF1062A1,894200,1243687,,,
280621,2026CF1064A1,894202,1243696,,,
281545,2026CF1124A2,894408,1244041,,,
281545,2026CF1124A3,894408,1244044,,,
267657,2026HH375A1,894603,1244307,,,
276670,2026CF1199A1,894705,1244465,,,
276670,2026CF1199A2,894705,1244466,,,
276577,2026CF90A2,890692,1244484,,,
238689,2026HH411A3,894926,1244746,,,
238689,2026HH411A4,894926,1244747,,,
197007,2026CF1261A2,894970,1244796,,,
273833,2026HH438A3,895159,1245095,,,
269574,2026CF1319A1,895166,1245104,,,
269574,2026CF1319A8,895166,1245111,,,
269574,2026CF1319A15,895166,1245118,,,
269574,2026CF1319A23,895166,1245126,,,
198368,2026CF1366A2,895343,1245388,,,
208784,2026CF1372A2,895353,1245407,,,
208784,2026CF1372A1,895353,1245409,,,
208784,2026CF1372A5,895353,1245410,,,
281741,2026CF1378A3,895366,1245437,,,
281678,2026CF1385A3,895385,1245476,,,
188505,2026MM967A1,895474,1245577,,,
236788,2026CF1409A1,895514,1245624,,,
11163,2026MM986A1,895531,1245653,,,
198368,2026CF1414A1,895533,1245656,,,
198368,2026CF1442A7,895621,1245789,,,
198368,2026CF1442A8,895621,1245791,,,
281377,2026CF913B4,895727,1245926,,,
281809,2026CF1487A1,895808,1246089,,,
281809,2026CF1487A2,895808,1246090,,,
234698,2026CF1496A2,895822,1246125,,,
234698,2026CF1496A3,895822,1246126,,,
281836,2026CF1532A3,895917,1246305,,,
243404,2026HH542A1,895984,1246408,,,
275318,2026CF1547A4,895987,1246414,,,
278590,2026CF1550A3,896004,1246449,,,
281836,2026CF1566A4,896044,1246500,,,
196041,2026CF1574A3,896064,1246631,,,
46065,2026CT793A3,896335,1246957,,,
276338,2026CF1671A2,896475,1247129,,,
281938,2026CF1683A1,896620,1247273,,,
